"Sample Group","Source","Source ID","Well #","Site ID","Sample ID","Sample Date","Sample Type","# Samples","# Results","Sample Time","Description","Date Reported","Source","Collector","Lab ID","Lab","Reason for No Results","Lab Comments"
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1208240","08/17/2020","Raw Water","1","2","1215","","08/24/2020","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1199130","07/13/2020","Compliance","1","1","1030","","07/21/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1199129","07/13/2020","Raw Water","1","1","1030","","07/21/2020","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water (no alkalinity)","Well","1","(none)","M-1","1199128","07/13/2020","Raw Water","1","1","1030","","07/21/2020","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1195092","06/22/2020","Compliance","1","1","1205","","07/13/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1195093","06/22/2020","Raw Water","1","2","1205","","07/13/2020","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Arsenic","Entry Point","100","(none)","","1193555","06/15/2020","Compliance","1","1","1220","","06/26/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Synthetic Organics","Entry Point","100","(none)","","1193554","06/15/2020","Compliance","1","2","1220","","06/26/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1187767","05/12/2020","Compliance","1","1","1330","","05/20/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1187768","05/12/2020","Raw Water","1","2","1330","","05/20/2020","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","","1182863","04/14/2020","Compliance","1","16","1215","","05/13/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Synthetic Organics","Entry Point","100","(none)","","1182865","04/14/2020","Compliance","1","40","1215","","05/13/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1182866","04/14/2020","Compliance","1","1","1215","","05/13/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1182867","04/14/2020","Raw Water","1","2","1215","","05/13/2020","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Volatile Organics","Entry Point","100","(none)","","1182864","04/14/2020","Compliance","1","41","1215","","05/13/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1179097","03/18/2020","Compliance","1","1","1330","","03/31/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","1179099","03/18/2020","Raw Water","1","1","1330","","03/31/2020","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water (no alkalinity)","Well","1","(none)","","1179098","03/18/2020","Raw Water","1","1","1330","","03/31/2020","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1174451","02/19/2020","Compliance","1","1","1410","","02/28/2020","Entry Point","B ANGELL","721026460","Northern Lake Service Inc. (Crandon)","","Samples received partially frozen"
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1174450","02/19/2020","Raw Water","1","2","1410","","02/28/2020","Well","B ANGELL","721026460","Northern Lake Service Inc. (Crandon)","","Samples received partially frozen"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1170096","01/20/2020","Compliance","1","1","845","","02/06/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1170094","01/20/2020","Raw Water","1","1","845","","02/06/2020","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water (no alkalinity)","Well","1","(none)","M-1","1170095","01/20/2020","Raw Water","1","1","845","","02/06/2020","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1166187","12/17/2019","Compliance","1","1","1335","","12/31/2019","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1166186","12/17/2019","Raw Water","1","2","1335","","12/31/2019","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1159615","11/06/2019","Compliance","1","1","1100","","11/13/2019","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1159614","11/06/2019","Raw Water","1","2","1100","","11/13/2019","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1155162","10/15/2019","Compliance","1","1","1300","","10/25/2019","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1155161","10/15/2019","Raw Water","1","2","1300","","10/25/2019","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1145307","09/04/2019","Compliance","1","1","1115","","09/22/2019","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1145306","09/04/2019","Raw Water","1","2","1115","","09/22/2019","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1141056","08/14/2019","Compliance","1","1","1030","","08/28/2019","Entry Point","B ANGELL","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1141055","08/14/2019","Raw Water","1","2","1030","","08/28/2019","Well","B ANGELL","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1134352","07/15/2019","Compliance","1","1","1215","","07/30/2019","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1134351","07/15/2019","Raw Water","1","2","1215","","07/30/2019","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1125073","06/04/2019","Compliance","1","1","1410","","06/13/2019","Entry Point","B ANGELL","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1125072","06/04/2019","Raw Water","1","2","1410","","06/13/2019","Well","B ANGELL","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1121374","05/15/2019","Compliance","1","1","1315","","05/28/2019","Entry Point","B ANGELL","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1121373","05/15/2019","Raw Water","1","2","1315","","05/28/2019","Well","B ANGELL","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1115407","04/16/2019","Compliance","1","1","950","","05/09/2019","Entry Point","B ANGELL","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1115406","04/16/2019","Raw Water","1","2","950","","05/09/2019","Well","B ANGELL","721026460","Northern Lake Service Inc. (Crandon)","","Sample analyzed past hold time due to laboratory error."
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1110376","03/19/2019","Compliance","1","1","1430","","03/27/2019","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1110377","03/19/2019","Raw Water","1","2","1430","","03/27/2019","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","M-100","1105889","02/19/2019","Compliance","1","15","1150","","03/04/2019","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1105933","02/19/2019","Compliance","1","1","1205","","03/04/2019","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1105932","02/19/2019","Raw Water","1","2","1205","","03/04/2019","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1101317","01/15/2019","Compliance","1","1","1430","","01/22/2019","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1101316","01/15/2019","Raw Water","1","2","1430","","01/22/2019","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1095435","12/04/2018","Compliance","1","1","900","","12/12/2018","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1095434","12/04/2018","Raw Water","1","2","900","","12/12/2018","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1092794","11/13/2018","Compliance","1","1","915","","11/27/2018","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1092792","11/13/2018","Raw Water","1","1","915","","11/27/2018","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water (no alkalinity)","Well","1","(none)","M-1","1092793","11/13/2018","Raw Water","1","1","915","","11/27/2018","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1086114","10/09/2018","Compliance","1","1","900","","10/16/2018","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1086113","10/09/2018","Raw Water","1","2","900","","10/16/2018","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1446","09/18/2018","Raw Water","1","1","1035","","09/19/2018","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","4060378","09/18/2018","Raw Water","1","7","1025","","10/02/2018","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1079945","09/12/2018","Compliance","1","1","1130","","09/24/2018","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1079944","09/12/2018","Raw Water","1","2","1130","","09/24/2018","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1405","08/21/2018","Raw Water","1","1","1025","","08/22/2018","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","4030449","08/21/2018","Raw Water","1","7","1015","","08/31/2018","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1075337","08/21/2018","Compliance","1","1","1045","","08/30/2018","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1075336","08/21/2018","Raw Water","1","2","1045","","08/30/2018","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1069377","07/24/2018","Compliance","1","1","1215","","08/02/2018","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1069376","07/24/2018","Raw Water","1","2","1215","","08/02/2018","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3991598","07/17/2018","Raw Water","1","7","945","","07/27/2018","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1335","07/17/2018","Raw Water","1","1","945","","07/18/2018","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3965872","06/19/2018","Raw Water","1","7","1400","","06/27/2018","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1293","06/19/2018","Raw Water","1","1","1400","","06/20/2018","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1058575","06/04/2018","Compliance","1","1","1105","","06/18/2018","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1058574","06/04/2018","Raw Water","1","2","1105","","06/18/2018","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3937190","05/15/2018","Raw Water","1","7","1215","","06/01/2018","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1248","05/15/2018","Raw Water","1","1","1220","","05/16/2018","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1055695","05/15/2018","Compliance","1","1","1245","","05/30/2018","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1055694","05/15/2018","Raw Water","1","2","1245","","05/30/2018","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3914188","04/17/2018","Raw Water","1","7","1005","","05/02/2018","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1241","04/17/2018","Raw Water","1","1","1020","","04/18/2018","Well","B. ANGELL","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1050453","04/17/2018","Compliance","1","1","1020","","04/26/2018","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1050452","04/17/2018","Raw Water","1","2","1020","","04/26/2018","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","M-100","1046101","03/20/2018","Compliance","1","15","1020","","03/26/2018","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1237","03/20/2018","Raw Water","1","1","1010","","03/21/2018","Well","E KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3893842","03/20/2018","Raw Water","1","7","1010","","04/04/2018","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1046149","03/20/2018","Compliance","1","1","1015","","03/28/2018","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1046148","03/20/2018","Raw Water","1","2","1015","","03/28/2018","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1236","02/20/2018","Raw Water","1","1","1015","","02/21/2018","Well","E KIEFER","154","NORTH SHORE WATER COMMISSION","","good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3876005","02/20/2018","Raw Water","1","7","1015","","03/07/2018","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1041814","02/20/2018","Compliance","1","1","1025","","03/07/2018","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1041815","02/20/2018","Raw Water","1","2","1025","","03/07/2018","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3853654","01/16/2018","Raw Water","1","7","1025","","01/29/2018","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1226","01/16/2018","Raw Water","1","1","1025","","01/17/2018","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1037350","01/16/2018","Compliance","1","1","1030","","01/30/2018","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1037349","01/16/2018","Raw Water","1","2","1030","","01/30/2018","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3837739","12/12/2017","Raw Water","1","7","1115","","01/02/2018","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1219","12/12/2017","Raw Water","1","1","1125","","12/13/2017","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1033103","12/12/2017","Compliance","1","1","1130","","12/19/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1033104","12/12/2017","Raw Water","1","2","1130","","12/19/2017","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3820665","11/14/2017","Raw Water","1","7","1025","","11/27/2017","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1209","11/14/2017","Raw Water","1","1","1025","","11/15/2017","Well","B. ANGELL","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1029616","11/14/2017","Compliance","1","1","1035","","11/27/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1029615","11/14/2017","Raw Water","1","2","1035","","11/27/2017","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3801669","10/17/2017","Raw Water","1","7","945","","10/25/2017","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1192","10/17/2017","Raw Water","1","1","955","","10/18/2017","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1025058","10/17/2017","Compliance","1","1","1000","","11/03/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1025060","10/17/2017","Raw Water","1","1","1000","","11/03/2017","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water (no alkalinity)","Well","1","(none)","M-1","1025059","10/17/2017","Raw Water","1","1","1000","","11/03/2017","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3782928","09/19/2017","Raw Water","1","7","1015","","10/04/2017","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1167","09/19/2017","Raw Water","1","1","1025","","09/20/2017","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1019432","09/19/2017","Compliance","1","1","1035","","09/28/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1019433","09/19/2017","Raw Water","1","2","1035","","09/28/2017","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1133","08/22/2017","Raw Water","1","1","1145","","08/23/2017","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3763240","08/22/2017","Raw Water","1","7","1145","","09/28/2017","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1013153","08/22/2017","Compliance","1","1","1145","","08/30/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1013152","08/22/2017","Raw Water","1","2","1145","","08/30/2017","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1114","07/18/2017","Raw Water","1","1","1005","","07/19/2017","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3735032","07/18/2017","Raw Water","1","7","950","","08/03/2017","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Synthetic Organics","Entry Point","100","(none)","M-100","1004629","07/18/2017","Compliance","1","37","1040","","08/16/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1005514","07/18/2017","Compliance","1","1","1108","","07/26/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1005513","07/18/2017","Raw Water","1","2","1106","","07/26/2017","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1112","06/27/2017","Raw Water","1","1","1240","","06/28/2017","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3721864","06/27/2017","Raw Water","1","7","1240","","07/11/2017","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1111","06/20/2017","Raw Water","1","1","1300","","06/21/2017","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","995362","06/05/2017","Compliance","1","1","1210","","06/20/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
